"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration"
"Fulton, GA",0,0.041741935483871
"Fulton, GA",0,0.041741935483871
"Chatham, GA",44767,0.0309032258064516
"Fulton, GA",1678,0.041741935483871
"Murray, GA",7926566,0.0362903225806452
"Bibb, GA",0,0.0324516129032258
"Jackson, MS",1011171,0.0344516129032258
"Jackson, MS",10960074,0.0344516129032258
"Hinds, MS",3069671,0.0343225806451613
"Lauderdale, MS",2,0.0321290322580645
"Hinds, MS",0,0.0343225806451613
"Lauderdale, MS",672,0.0321290322580645
"Harrison, MS",2595782,0.0329677419354839
"Buncombe, NC",4014933,0.0353225806451613
"Buncombe, NC",-229,0.0353225806451613
"Haywood, NC",312129,0.0396304347826087
"Rowan, NC",4866838,0.0441935483870968
"Cumberland, NC",51454,0.0398679245283019
"Pitt, NC",3383,0.037258064516129
"Johnston, NC",8390,0.0396451612903226
"Mecklenburg, NC",-53,0.045672131147541
"Rockingham, NC",4110015,0.0431290322580645
"Martin, NC",339794.88,0.0331290322580645
"Pitt, NC",387,0.037258064516129
"Guilford, NC",293.001,0.0455161290322581
"Caldwell, NC",19,0.0393225806451613
"Guilford, NC",-48,0.0455161290322581
"Guilford, NC",78,0.0455161290322581
"Guilford, NC",74,0.0455161290322581
"Mecklenburg, NC",-47,0.045672131147541
"Forsyth, NC",40509,0.0430978260869565
"New Hanover, NC",3927306,0.0304838709677419
"Rowan, NC",-59,0.0441935483870968
"Lincoln, NC",48745.008,0.0449032258064516
"Lincoln, NC",7,0.0449032258064516
"Durham, NC",12064,0.0414838709677419
"Person, NC",1091887,0.0402333333333333
"Union, NC",67,0.0384516129032258
"Union, NC",18,0.0384516129032258
"Wake, NC",80244,0.0434838709677419
"Wake, NC",43601,0.0434838709677419
"Mecklenburg, NC",8531,0.045672131147541
"Mecklenburg, NC",-24,0.045672131147541
"Rowan, NC",4474654.001,0.0441935483870968
"Mecklenburg, NC",25916,0.045672131147541
"Rockingham, NC",1439160,0.0431290322580645
"Person, NC",5460053,0.0402333333333333
"Forsyth, NC",26705,0.0430978260869565
"Lenoir, NC",1664,0.0349642857142857
"Montgomery, NC",42481.998,0.0347931034482759
"Wake, NC",58842,0.0434838709677419
"Guilford, NC",49,0.0455161290322581
"Forsyth, NC",10874.001,0.0430978260869565
"Guilford, NC",16590,0.0455161290322581
"Anderson, SC",-415,0.0402903225806452
"Berkeley, SC",2633,0.032741935483871
"Spartanburg, SC",30552,0.0438064516129032
"Richland, SC",1151,0.0335268817204301
"Berkeley, SC",7626134,0.032741935483871
"Darlington, SC",95142,0.0334516129032258
"Greenville, SC",7669,0.0423870967741935
"Charleston, SC",29371,0.0338
"Horry, SC",5752.999,0.0341935483870968
"Anderson, SC",5688274.999,0.0402903225806452
"Charleston, SC",456468,0.0338
"Horry, SC",1893.001,0.0341935483870968
"Spartanburg, SC",-56.001,0.0438064516129032
"Richland, SC",17671,0.0335268817204301
"Aiken, SC",84384,0.0339677419354839
"York, SC",53,0.0363548387096774
"Darlington, SC",24988,0.0334516129032258
"Richland, SC",539817,0.0335268817204301
"York, SC",64,0.0363548387096774
"Aiken, SC",2016741.999,0.0339677419354839
"Anderson, SC",4710153,0.0402903225806452
"Richland, SC",1828351,0.0335268817204301
"Spartanburg, SC",230,0.0438064516129032
"Berkeley, SC",1741944,0.032741935483871
"Shelby, TN",5433169.996,0.0499529411764706
"Anderson, TN",1087060,0.0379666666666667
"Anderson, TN",22336.001,0.0379666666666667
"Sullivan, TN",0,0.0423389830508475
"Sullivan, TN",1037290,0.0423389830508475
"Sumner, TN",4450512,0.0470322580645161
"Davidson, TN",21413,0.0452203389830508
"Loudon, TN",386984,0.0370645161290323
"Knox, TN",28582,0.0388392857142857
"Davidson, TN",101055,0.0452203389830508
