"CountyState","Sum_Plant_NetGenMW","average_month_PM25_concentration","Season","SeasonBinary","percent_white","percent_black","percent_asian","percent_housing_burden","Median_Income","percent_no_vehicle","Population","LogSum_Plant_NetGenMW"
"Alachua, FL",2306689.001,14,"Summer","1",64.822739151107,19.4431038612371,5.96899141669258,54.4793502258411,57566,0.994502610569353,279729,6.36298904477933
"Alachua, FL",2306689.001,12.7,"Winter","0",64.822739151107,19.4431038612371,5.96899141669258,54.4793502258411,57566,0.994502610569353,279729,6.36298904477933
"Bay, FL",4542044,22.1,"Summer","1",77.9779624975836,10.3034989367872,2.03474082461131,52.5479335321687,65999,1.8773936098985,181055,6.65725133703137
"Bay, FL",4542044,16.5,"Winter","0",77.9779624975836,10.3034989367872,2.03474082461131,52.5479335321687,65999,1.8773936098985,181055,6.65725133703137
"Bibb, GA",459292.126,9.4,"Summer","1",37.2127189340419,54.3122500862322,2.18965979789721,52.0326646547133,48897,1.86112979152656,156554,5.66208900003568
"Bibb, GA",459292.126,16.7,"Winter","0",37.2127189340419,54.3122500862322,2.18965979789721,52.0326646547133,48897,1.86112979152656,156554,5.66208900003568
"Brevard, FL",5801116.999,15.8,"Summer","1",77.0652161454538,9.84488876299075,2.36735803301988,50.8401828070968,71308,2.27609973646868,610723,6.76351162456218
"Brevard, FL",5801116.999,11.5,"Winter","0",77.0652161454538,9.84488876299075,2.36735803301988,50.8401828070968,71308,2.27609973646868,610723,6.76351162456218
"Broward, FL",11933011.901,16.8,"Summer","1",47.663798420017,28.3688502334218,3.67235524422345,60.5027515751771,70331,2.67017802534594,1940907,7.07675007375364
"Broward, FL",11933011.901,28.6,"Winter","0",47.663798420017,28.3688502334218,3.67235524422345,60.5027515751771,70331,2.67017802534594,1940907,7.07675007375364
"Buncombe, NC",4015162,11.1,"Summer","1",85.1938585780612,5.59994655760459,1.15272277870766,49.1581389002592,66531,1.19217652374151,269449,6.60370307247565
"Buncombe, NC",4015162,12.2,"Winter","0",85.1938585780612,5.59994655760459,1.15272277870766,49.1581389002592,66531,1.19217652374151,269449,6.60370307247565
"Catawba, NC",7211521.001,12.4,"Summer","1",77.0506362919304,8.10130984839545,4.08916161007633,34.3533951444343,62070,1.65885602557338,161011,6.85802687258016
"Catawba, NC",7211521.001,21.1,"Winter","0",77.0506362919304,8.10130984839545,4.08916161007633,34.3533951444343,62070,1.65885602557338,161011,6.85802687258016
"Charleston, SC",485839,14,"Summer","1",66.9353894202616,24.7860140542651,1.76044309974624,49.7014807189801,78795,1.55243167728979,409840,5.68649237420925
"Charleston, SC",485839,20.7,"Winter","0",66.9353894202616,24.7860140542651,1.76044309974624,49.7014807189801,78795,1.55243167728979,409840,5.68649237420925
"Chatham, GA",1156133.01,11.4,"Summer","1",49.125110542553,40.1807834851114,2.90887243220619,48.8114511352419,66171,1.95258257158192,296266,6.06300780137346
"Chatham, GA",1156133.01,21.2,"Winter","0",49.125110542553,40.1807834851114,2.90887243220619,48.8114511352419,66171,1.95258257158192,296266,6.06300780137346
"Citrus, FL",15701082,17,"Summer","1",89.7507942747772,2.31096904745027,1.37910590115548,48.1193124368048,52569,2.51661707450667,155173,7.19592958173648
"Citrus, FL",15701082,12.1,"Winter","0",89.7507942747772,2.31096904745027,1.37910590115548,48.1193124368048,52569,2.51661707450667,155173,7.19592958173648
"Clarke, GA",4012,9.7,"Summer","1",59.0467469580333,26.6583374720636,4.07561460144028,55.4343666283965,48692,0.847457627118644,128864,3.60336092434838
"Clarke, GA",4012,19.6,"Winter","0",59.0467469580333,26.6583374720636,4.07561460144028,55.4343666283965,48692,0.847457627118644,128864,3.60336092434838
"Cobb, GA",18428551,12.1,"Summer","1",52.8360056567334,27.4805990496374,5.5760348805779,46.7392418557927,94244,0.665588262567357,765813,7.26549118885751
"Cobb, GA",18428551,16.5,"Winter","0",52.8360056567334,27.4805990496374,5.5760348805779,46.7392418557927,94244,0.665588262567357,765813,7.26549118885751
"Collier, FL",24775,11.8,"Winter","0",73.230831542708,6.45756020840511,1.41233650955628,57.4379536111252,82011,1.5953510920596,380221,4.39401366315731
"Collier, FL",24775,18.1,"Summer","1",73.230831542708,6.45756020840511,1.41233650955628,57.4379536111252,82011,1.5953510920596,380221,4.39401366315731
"Cumberland, NC",51454,11.3,"Summer","1",45.1142130086782,37.1949273135704,2.48771654529888,47.6967930029154,55551,1.39966073612371,335207,4.71141914217721
"Cumberland, NC",51454,17,"Winter","0",45.1142130086782,37.1949273135704,2.48771654529888,47.6967930029154,55551,1.39966073612371,335207,4.71141914217721
"Davidson, NC",12654,27.9,"Summer","1",81.3083340216404,9.6449515628503,1.56462023150716,41.9182948490231,58473,1.35925772708469,169498,4.10222783012313
"Davidson, NC",12654,19.7,"Winter","0",81.3083340216404,9.6449515628503,1.56462023150716,41.9182948490231,58473,1.35925772708469,169498,4.10222783012313
"Davidson, TN",122468,26,"Summer","1",59.7205354853435,26.3265265868868,3.59347747067426,49.3401600923055,71863,1.27765865004973,709786,5.08802262552577
"Davidson, TN",122468,22.3,"Winter","0",59.7205354853435,26.3265265868868,3.59347747067426,49.3401600923055,71863,1.27765865004973,709786,5.08802262552577
"DeKalb, GA",49.98,14.4,"Summer","1",31.8781044364951,52.7715778452436,6.22286389151994,52.4819799175034,76044,1.51898289607699,761209,1.69879625179043
"DeKalb, GA",49.98,21.8,"Winter","0",31.8781044364951,52.7715778452436,6.22286389151994,52.4819799175034,76044,1.51898289607699,761209,1.69879625179043
"Dougherty, GA",333684,13.9,"Summer","1",24.3655777417155,69.9322655753898,0.82316141019309,48.9526636978394,45640,1.9770277018889,85038,5.52333538292599
"Dougherty, GA",333684,23.6,"Winter","0",24.3655777417155,69.9322655753898,0.82316141019309,48.9526636978394,45640,1.9770277018889,85038,5.52333538292599
"Durham, NC",12064,10,"Summer","1",47.62673753695,34.2902667171125,5.21345674113583,44.4519822622278,74927,1.06149746436454,325101,4.0814913285257
"Durham, NC",12064,15,"Winter","0",47.62673753695,34.2902667171125,5.21345674113583,44.4519822622278,74927,1.06149746436454,325101,4.0814913285257
"Duval, FL",9270493.002,20,"Summer","1",54.6834011577691,29.1837566836864,4.71935547369309,49.7334158474758,65579,1.58381549584482,995708,6.96710283040717
"Duval, FL",9270493.002,20.3,"Winter","0",54.6834011577691,29.1837566836864,4.71935547369309,49.7334158474758,65579,1.58381549584482,995708,6.96710283040717
"Escambia, FL",2402200.507,13.8,"Summer","1",65.2806135152632,21.6641352522285,3.01715552014342,48.3406937357973,61642,1.86822826525048,321296,6.38060925429479
"Escambia, FL",2402200.507,24.1,"Winter","0",65.2806135152632,21.6641352522285,3.01715552014342,48.3406937357973,61642,1.86822826525048,321296,6.38060925429479
"Etowah, AL",3822,14,"Summer","1",77.9453883964857,15.2146146998491,0.723768239346673,41.520750701364,52177,1.45136758526462,103348,3.58229068271899
"Etowah, AL",3822,15,"Winter","0",77.9453883964857,15.2146146998491,0.723768239346673,41.520750701364,52177,1.45136758526462,103348,3.58229068271899
"Florence, SC",414945.636,10.9,"Summer","1",51.1418457833084,42.8252381126154,1.50859394956757,40.4974800845391,56088,2.3103131460072,137015,5.6179912014548
"Florence, SC",414945.636,14.5,"Winter","0",51.1418457833084,42.8252381126154,1.50859394956757,40.4974800845391,56088,2.3103131460072,137015,5.6179912014548
"Floyd, GA",416001,10.8,"Summer","1",74.2401639926528,13.9261830101176,1.32838107995657,44.9506739965359,57868,1.61684631625736,98541,5.61909437460261
"Floyd, GA",416001,11,"Winter","0",74.2401639926528,13.9261830101176,1.32838107995657,44.9506739965359,57868,1.61684631625736,98541,5.61909437460261
"Forsyth, NC",78088.001,18,"Summer","1",60.4502018298896,25.8013910496457,2.43238242659724,44.2414573898724,61229,1.21492396927418,383739,4.89258430532626
"Forsyth, NC",78088.001,20.7,"Winter","0",60.4502018298896,25.8013910496457,2.43238242659724,44.2414573898724,61229,1.21492396927418,383739,4.89258430532626
"Fulton, GA",42519.998,14.8,"Winter","0",41.0040454110575,43.3913652697317,7.59333825512456,46.9534067344486,86267,1.54439554979861,1061944,4.62859323542348
"Fulton, GA",42519.998,13.6,"Summer","1",41.0040454110575,43.3913652697317,7.59333825512456,46.9534067344486,86267,1.54439554979861,1061944,4.62859323542348
"Glynn, GA",469177.998,10.1,"Summer","1",66.6390748054774,24.7167892533642,1.19906345339735,41.7628262027339,65970,2.45064870112677,84566,5.6713376377759
"Glynn, GA",469177.998,31.2,"Winter","0",66.6390748054774,24.7167892533642,1.19906345339735,41.7628262027339,65970,2.45064870112677,84566,5.6713376377759
"Greenville, SC",7669,17.7,"Summer","1",69.6930057870217,17.2219266977251,2.5239895428499,45.7191387779461,71328,1.66913082543773,528251,3.88473873776963
"Greenville, SC",7669,23.7,"Winter","0",69.6930057870217,17.2219266977251,2.5239895428499,45.7191387779461,71328,1.66913082543773,528251,3.88473873776963
"Guilford, NC",17132.001,14.7,"Summer","1",50.9964656190171,34.2473547743797,5.18944245000992,46.8063119027438,62880,1.42182544343945,539557,4.23380809107443
"Guilford, NC",17132.001,18.1,"Winter","0",50.9964656190171,34.2473547743797,5.18944245000992,46.8063119027438,62880,1.42182544343945,539557,4.23380809107443
"Gwinnett, GA",51496.001,9.2,"Summer","1",39.4251636521545,28.4580945054004,12.7460262615908,54.1947826742564,82296,1.10922065219784,957977,4.71177350455447
"Gwinnett, GA",51496.001,16.6,"Winter","0",39.4251636521545,28.4580945054004,12.7460262615908,54.1947826742564,82296,1.10922065219784,957977,4.71177350455447
"Hamilton, FL",102989,13.2,"Summer","1",59.1832196857397,32.6341535724874,0.511414171360806,40.6747891283974,47668,2.06976744186047,13492,5.01279084126426
"Hamilton, FL",102989,14,"Winter","0",59.1832196857397,32.6341535724874,0.511414171360806,40.6747891283974,47668,2.06976744186047,13492,5.01279084126426
"Harrison, MS",2595782,10.5,"Summer","1",64.7416981240539,24.8155670952536,2.34253741353211,46.7093066370041,55211,1.1896596874961,208748,6.41426821656727
"Harrison, MS",2595782,17,"Winter","0",64.7416981240539,24.8155670952536,2.34253741353211,46.7093066370041,55211,1.1896596874961,208748,6.41426821656727
"Haywood, NC",312129,6.5,"Summer","1",92.441112112241,0.825395803835758,0.416720298622731,44.486065328139,56596,2.23178882972697,62152,5.49433412097189
"Haywood, NC",312129,4,"Winter","0",92.441112112241,0.825395803835758,0.416720298622731,44.486065328139,56596,2.23178882972697,62152,5.49433412097189
"Hillsborough, FL",11117690,19.5,"Summer","1",58.8714114506728,16.4318788473062,4.27520836738029,51.434493783785,70612,1.39650338410986,1468560,7.04601456022544
"Hillsborough, FL",11117690,16.5,"Winter","0",58.8714114506728,16.4318788473062,4.27520836738029,51.434493783785,70612,1.39650338410986,1468560,7.04601456022544
"Hinds, MS",3069671,13.6,"Summer","1",24.0084576301861,72.8865856511625,0.747767512282545,49.9973558963511,48596,1.94340570407992,226541,6.48709183132696
"Hinds, MS",3069671,19.7,"Winter","0",24.0084576301861,72.8865856511625,0.747767512282545,49.9973558963511,48596,1.94340570407992,226541,6.48709183132696
"Houston, GA",471802,10.2,"Summer","1",56.2872828530865,31.6688703790588,3.28424233930671,42.0724406306127,76968,1.27708020525682,164117,5.67375977755662
"Houston, GA",471802,19.9,"Winter","0",56.2872828530865,31.6688703790588,3.28424233930671,42.0724406306127,76968,1.27708020525682,164117,5.67375977755662
"Hyde, NC",146,8.4,"Summer","1",58.7144089732528,28.5806729939603,0,49.3150684931507,43724,2.1978021978022,4636,2.16435285578444
"Hyde, NC",146,6.8,"Winter","0",58.7144089732528,28.5806729939603,0,49.3150684931507,43724,2.1978021978022,4636,2.16435285578444
"Jackson, MS",11971245,9.9,"Summer","1",69.0803709965837,20.4333395954662,2.37613153262223,45.0916598886317,60045,1.63075867299948,143721,7.0781393190374
"Jackson, MS",11971245,18.5,"Winter","0",69.0803709965837,20.4333395954662,2.37613153262223,45.0916598886317,60045,1.63075867299948,143721,7.0781393190374
"Jefferson, AL",21067499,25,"Winter","0",50.3334250630332,42.7216945698497,1.74217012636386,47.9829837171776,63595,1.95828348269713,672265,7.32361298197885
"Jefferson, AL",21067499,19.4,"Summer","1",50.3334250630332,42.7216945698497,1.74217012636386,47.9829837171776,63595,1.95828348269713,672265,7.32361298197885
"Johnston, NC",8390,11,"Winter","0",69.8423133462989,16.5196628957004,0.690735110161522,41.8624703599914,75288,1.32515399246728,219042,3.9237619608287
"Johnston, NC",8390,12,"Summer","1",69.8423133462989,16.5196628957004,0.690735110161522,41.8624703599914,75288,1.32515399246728,219042,3.9237619608287
"Knox, TN",28582,22.9,"Summer","1",82.9179528298359,8.24646971579083,2.270640581962,44.4073504648949,68580,1.24973055090792,481406,4.4560926148879
"Knox, TN",28582,20.7,"Winter","0",82.9179528298359,8.24646971579083,2.270640581962,44.4073504648949,68580,1.24973055090792,481406,4.4560926148879
"Lee, FL",10796959.002,16.3,"Summer","1",74.340602042691,8.03801775645554,1.66489412629285,53.1848664759753,69368,1.93352775672238,772902,7.03330145228125
"Lee, FL",10796959.002,14.5,"Winter","0",74.340602042691,8.03801775645554,1.66489412629285,53.1848664759753,69368,1.93352775672238,772902,7.03330145228125
"Leon, FL",1567825,15.6,"Summer","1",57.8550835010608,30.9494505793396,3.51819615949519,53.5579865630166,61317,1.1376363100501,294128,6.19529758527711
"Leon, FL",1567825,22.9,"Winter","0",57.8550835010608,30.9494505793396,3.51819615949519,53.5579865630166,61317,1.1376363100501,294128,6.19529758527711
"Lexington, SC",755990,10.9,"Summer","1",75.039704799043,15.0540323180169,2.07039407435442,40.8304745568896,71280,1.89428092320915,295934,5.87851605082721
"Lexington, SC",755990,16,"Winter","0",75.039704799043,15.0540323180169,2.07039407435442,40.8304745568896,71280,1.89428092320915,295934,5.87851605082721
"Loudon, TN",386984,10.2,"Summer","1",89.8823571801755,1.39261714738682,0.99086601689877,32.7773749093546,75008,1.64984213100903,55507,5.58769300932031
"Loudon, TN",386984,14,"Winter","0",89.8823571801755,1.39261714738682,0.99086601689877,32.7773749093546,75008,1.64984213100903,55507,5.58769300932031
"Lowndes, GA",331573.588,14,"Summer","1",53.8319084705345,36.9035236814734,1.95506397084316,46.0558008831795,52821,1.32662397072278,118257,5.52057992886648
"Lowndes, GA",331573.588,18.3,"Winter","0",53.8319084705345,36.9035236814734,1.95506397084316,46.0558008831795,52821,1.32662397072278,118257,5.52057992886648
"Marion, FL",12152,17.3,"Summer","1",74.405975279265,12.3482054332738,1.58106946923128,44.3810829335161,55265,2.2168314021007,378225,4.08464776085473
"Marion, FL",12152,24.1,"Winter","0",74.405975279265,12.3482054332738,1.58106946923128,44.3810829335161,55265,2.2168314021007,378225,4.08464776085473
"Martin, FL",9527667.008,18.9,"Summer","1",82.8794408998802,5.41847815858318,1.54455172240729,51.9736842105263,77894,2.72465679515617,159399,6.97898657014608
"Martin, FL",9527667.008,13.2,"Winter","0",82.8794408998802,5.41847815858318,1.54455172240729,51.9736842105263,77894,2.72465679515617,159399,6.97898657014608
"McMinn, TN",25045.4,12.2,"Summer","1",90.0582828962116,3.48202944033475,0.78644549054771,38.5146177592155,57982,1.51201130475742,53532,4.39872797219665
"McMinn, TN",25045.4,13.1,"Winter","0",90.0582828962116,3.48202944033475,0.78644549054771,38.5146177592155,57982,1.51201130475742,53532,4.39872797219665
"Mecklenburg, NC",34571,23.4,"Summer","1",48.3832300971039,31.3167527790404,6.23622134779985,45.3109380153756,79265,1.09341131791555,1115403,4.53871194211691
"Mecklenburg, NC",34571,19,"Winter","0",48.3832300971039,31.3167527790404,6.23622134779985,45.3109380153756,79265,1.09341131791555,1115403,4.53871194211691
"Mobile, AL",15360096,12.8,"Summer","1",56.6971426362358,36.2597190476421,2.02547610648549,47.3065504281718,55352,1.56824660881551,413878,7.18639393002752
"Mobile, AL",15360096,21.1,"Winter","0",56.6971426362358,36.2597190476421,2.02547610648549,47.3065504281718,55352,1.56824660881551,413878,7.18639393002752
"Montgomery, NC",42481.998,8.6,"Summer","1",67.4329501915709,17.2375091915322,1.48612562405666,25.1209527353926,55523,2.43029984218832,25839,4.62820493415555
"Montgomery, NC",42481.998,16.2,"Winter","0",67.4329501915709,17.2375091915322,1.48612562405666,25.1209527353926,55523,2.43029984218832,25839,4.62820493415555
"Montgomery, TN",12954,15.7,"Winter","0",65.5189941746699,20.1709363262185,2.41515035649221,43.1521197007481,67890,0.674752093843974,222305,4.11240389271787
"Montgomery, TN",12954,23.3,"Summer","1",65.5189941746699,20.1709363262185,2.41515035649221,43.1521197007481,67890,0.674752093843974,222305,4.11240389271787
"Morgan, AL",7815396,13.6,"Summer","1",76.4049324950041,13.5099348507742,0.491462364543224,38.8243387861183,61588,2.10607449379218,123102,6.8929509882743
"Morgan, AL",7815396,13.5,"Winter","0",76.4049324950041,13.5099348507742,0.491462364543224,38.8243387861183,61588,2.10607449379218,123102,6.8929509882743
"Murray, GA",7926566,7.2,"Summer","1",92.6915108703792,0.466764845368545,0.808726256146569,35.8620689655172,60617,2.02570832492092,40063,6.89908508009765
"Murray, GA",7926566,6.9,"Winter","0",92.6915108703792,0.466764845368545,0.808726256146569,35.8620689655172,60617,2.02570832492092,40063,6.89908508009765
"Muscogee, GA",0,12.5,"Summer","1",40.5739788436345,46.5963083902,2.5805095516493,45.3684184420029,54561,2.05369665397716,204572,-Inf
