"County.FIPS.Code","Plant.county.name","Plant.state.abbreviation","Sum_Plant_NetGenMW","County","average_month_PM25_concentration","Average_Month_AQI_Value"
113,"Osage","OK",16493,"Santa Rosa",6.68387096774194,35.8387096774194
113,"Santa Rosa","FL",1397625.001,"Madison",10.1354838709677,49.3870967741936
113,"Santa Rosa","FL",1397625.001,"Russell",6.63055555555556,36.7777777777778
113,"Santa Rosa","FL",1397625.001,"Santa Rosa",6.68387096774194,35.8387096774194
113,"McLean","IL",15.999,"Madison",10.1354838709677,49.3870967741936
113,"McLean","IL",15.999,"Russell",6.63055555555556,36.7777777777778
113,"McLean","IL",15.999,"Santa Rosa",6.68387096774194,35.8387096774194
113,"Sawyer","WI",-84,"Madison",10.1354838709677,49.3870967741936
113,"Sawyer","WI",-84,"Russell",6.63055555555556,36.7777777777778
113,"Sawyer","WI",-84,"Santa Rosa",6.68387096774194,35.8387096774194
113,"Russell","AL",743639.64,"Madison",10.1354838709677,49.3870967741936
113,"Russell","AL",743639.64,"Russell",6.63055555555556,36.7777777777778
113,"Russell","AL",743639.64,"Santa Rosa",6.68387096774194,35.8387096774194
113,"Linn","IA",1054233.88,"Madison",10.1354838709677,49.3870967741936
113,"Linn","IA",1054233.88,"Russell",6.63055555555556,36.7777777777778
113,"Linn","IA",1054233.88,"Santa Rosa",6.68387096774194,35.8387096774194
113,"Missaukee","MI",132119,"Madison",10.1354838709677,49.3870967741936
113,"Missaukee","MI",132119,"Russell",6.63055555555556,36.7777777777778
113,"Missaukee","MI",132119,"Santa Rosa",6.68387096774194,35.8387096774194
115,"Macon","IL",1405028,"Floyd",6.86774193548387,37.7096774193548
115,"Macon","IL",1405028,"Sarasota",7.67956989247312,38.9462365591398
115,"Monroe","MI",15349520,"Floyd",6.86774193548387,37.7096774193548
115,"Monroe","MI",15349520,"Sarasota",7.67956989247312,38.9462365591398
115,"Yuba","CA",26878,"Floyd",6.86774193548387,37.7096774193548
115,"Yuba","CA",26878,"Sarasota",7.67956989247312,38.9462365591398
115,"Sedgwick","CO",0,"Floyd",6.86774193548387,37.7096774193548
115,"Sedgwick","CO",0,"Sarasota",7.67956989247312,38.9462365591398
115,"Louisa","IA",3151308,"Floyd",6.86774193548387,37.7096774193548
115,"Louisa","IA",3151308,"Sarasota",7.67956989247312,38.9462365591398
115,"Sarasota","FL",31579,"Floyd",6.86774193548387,37.7096774193548
115,"Sarasota","FL",31579,"Sarasota",7.67956989247312,38.9462365591398
115,"Linn","MO",8,"Floyd",6.86774193548387,37.7096774193548
115,"Linn","MO",8,"Sarasota",7.67956989247312,38.9462365591398
115,"Pine","MN",749,"Floyd",6.86774193548387,37.7096774193548
115,"Pine","MN",749,"Sarasota",7.67956989247312,38.9462365591398
115,"Floyd","GA",416001,"Floyd",6.86774193548387,37.7096774193548
115,"Floyd","GA",416001,"Sarasota",7.67956989247312,38.9462365591398
115,"Susquehanna","PA",46633,"Floyd",6.86774193548387,37.7096774193548
115,"Susquehanna","PA",46633,"Sarasota",7.67956989247312,38.9462365591398
115,"Washington","NY",66032,"Floyd",6.86774193548387,37.7096774193548
115,"Washington","NY",66032,"Sarasota",7.67956989247312,38.9462365591398
117,"Shelby","AL",4044923,"Seminole",7.95230769230769,41.0769230769231
117,"Seminole","FL",19269,"Seminole",7.95230769230769,41.0769230769231
117,"Montcalm","MI",372825,"Seminole",7.95230769230769,41.0769230769231
117,"Washington","LA",822178.027,"Seminole",7.95230769230769,41.0769230769231
117,"Wayne","NY",629,"Seminole",7.95230769230769,41.0769230769231
117,"Martin","NC",339794.88,"Seminole",7.95230769230769,41.0769230769231
117,"Livingston","MO",11732,"Seminole",7.95230769230769,41.0769230769231
117,"Tioga","PA",2804,"Seminole",7.95230769230769,41.0769230769231
117,"Sheboygan","WI",2335701,"Seminole",7.95230769230769,41.0769230769231
117,"Stanley","SD",32.34,"Seminole",7.95230769230769,41.0769230769231
119,"Polk","MN",66329.55,"Mecklenburg",7.80309278350515,40.298969072165
119,"Polk","MN",66329.55,"Sumter",6.46785714285714,35.6428571428571
119,"Polk","MN",66329.55,"Maury",8.08064516129032,42.9032258064516
119,"Muskingum","OH",4466737,"Mecklenburg",7.80309278350515,40.298969072165
119,"Muskingum","OH",4466737,"Sumter",6.46785714285714,35.6428571428571
119,"Muskingum","OH",4466737,"Maury",8.08064516129032,42.9032258064516
119,"Payne","OK",137535.001,"Mecklenburg",7.80309278350515,40.298969072165
119,"Payne","OK",137535.001,"Sumter",6.46785714285714,35.6428571428571
119,"Payne","OK",137535.001,"Maury",8.08064516129032,42.9032258064516
119,"Meade","KS",78,"Mecklenburg",7.80309278350515,40.298969072165
119,"Meade","KS",78,"Sumter",6.46785714285714,35.6428571428571
119,"Meade","KS",78,"Maury",8.08064516129032,42.9032258064516
119,"Madison","NE",5,"Mecklenburg",7.80309278350515,40.298969072165
119,"Madison","NE",5,"Sumter",6.46785714285714,35.6428571428571
119,"Madison","NE",5,"Maury",8.08064516129032,42.9032258064516
119,"Middlesex","VA",48318,"Mecklenburg",7.80309278350515,40.298969072165
119,"Middlesex","VA",48318,"Sumter",6.46785714285714,35.6428571428571
119,"Middlesex","VA",48318,"Maury",8.08064516129032,42.9032258064516
119,"Pulaski","AR",1023525,"Mecklenburg",7.80309278350515,40.298969072165
119,"Pulaski","AR",1023525,"Sumter",6.46785714285714,35.6428571428571
119,"Pulaski","AR",1023525,"Maury",8.08064516129032,42.9032258064516
119,"Montmorency","MI",0,"Mecklenburg",7.80309278350515,40.298969072165
119,"Montmorency","MI",0,"Sumter",6.46785714285714,35.6428571428571
119,"Montmorency","MI",0,"Maury",8.08064516129032,42.9032258064516
119,"Westchester","NY",NA,"Mecklenburg",7.80309278350515,40.298969072165
119,"Westchester","NY",NA,"Sumter",6.46785714285714,35.6428571428571
119,"Westchester","NY",NA,"Maury",8.08064516129032,42.9032258064516
119,"Mecklenburg","NC",34323,"Mecklenburg",7.80309278350515,40.298969072165
119,"Mecklenburg","NC",34323,"Sumter",6.46785714285714,35.6428571428571
119,"Mecklenburg","NC",34323,"Maury",8.08064516129032,42.9032258064516
119,"Lyon","IA",14,"Mecklenburg",7.80309278350515,40.298969072165
119,"Lyon","IA",14,"Sumter",6.46785714285714,35.6428571428571
119,"Lyon","IA",14,"Maury",8.08064516129032,42.9032258064516
119,"Madison","IL",570281.999,"Mecklenburg",7.80309278350515,40.298969072165
119,"Madison","IL",570281.999,"Sumter",6.46785714285714,35.6428571428571
119,"Madison","IL",570281.999,"Maury",8.08064516129032,42.9032258064516
119,"Union","PA",44551,"Mecklenburg",7.80309278350515,40.298969072165
119,"Union","PA",44551,"Sumter",6.46785714285714,35.6428571428571
119,"Union","PA",44551,"Maury",8.08064516129032,42.9032258064516
119,"Franklin","GA",392026,"Mecklenburg",7.80309278350515,40.298969072165
119,"Franklin","GA",392026,"Sumter",6.46785714285714,35.6428571428571
119,"Franklin","GA",392026,"Maury",8.08064516129032,42.9032258064516
121,"Montgomery","VA",55135,"Mitchell",5.96451612903226,33.1935483870968
121,"Montgomery","VA",55135,"Fulton",7.94197530864198,42.3950617283951
121,"Muskegon","MI",5450,"Mitchell",5.96451612903226,33.1935483870968
121,"Muskegon","MI",5450,"Fulton",7.94197530864198,42.3950617283951
121,"Denton","TX",555851.004,"Mitchell",5.96451612903226,33.1935483870968
121,"Denton","TX",555851.004,"Fulton",7.94197530864198,42.3950617283951
121,"West Baton Rouge","LA",32423,"Mitchell",5.96451612903226,33.1935483870968
