"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/09/2022","AQS","450030003","2","0.048","ppm","44","JACKSON MIDDLE SCHOOL","13","76.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/10/2022","AQS","450030003","2","0.052","ppm","48","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/11/2022","AQS","450030003","2","0.057","ppm","58","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/12/2022","AQS","450030003","2","0.05","ppm","46","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/13/2022","AQS","450030003","2","0.039","ppm","36","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/14/2022","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/15/2022","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/16/2022","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/17/2022","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/18/2022","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/19/2022","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/20/2022","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/21/2022","AQS","450030003","2","0.039","ppm","36","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/22/2022","AQS","450030003","2","0.042","ppm","39","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/23/2022","AQS","450030003","2","0.038","ppm","35","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/24/2022","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/25/2022","AQS","450030003","2","0.028","ppm","26","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/26/2022","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/27/2022","AQS","450030003","2","0.02","ppm","19","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/28/2022","AQS","450030003","2","0.044","ppm","41","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/01/2022","AQS","450030003","2","0.05","ppm","46","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/02/2022","AQS","450030003","2","0.058","ppm","61","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/03/2022","AQS","450030003","2","0.065","ppm","84","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","087","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
