"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/28/2022","AQS","470010101","1","0.042","ppm","39","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/29/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/30/2022","AQS","470010101","1","0.057","ppm","58","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/31/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/01/2022","AQS","470010101","1","0.039","ppm","36","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/02/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/03/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/04/2022","AQS","470010101","1","0.051","ppm","47","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/05/2022","AQS","470010101","1","0.036","ppm","33","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/06/2022","AQS","470010101","1","0.035","ppm","32","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/07/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/08/2022","AQS","470010101","1","0.038","ppm","35","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/09/2022","AQS","470010101","1","0.037","ppm","34","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/10/2022","AQS","470010101","1","0.048","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/11/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/12/2022","AQS","470010101","1","0.031","ppm","29","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/13/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/14/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/15/2022","AQS","470010101","1","0.047","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/16/2022","AQS","470010101","1","0.042","ppm","39","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/17/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/18/2022","AQS","470010101","1","0.038","ppm","35","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/19/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/20/2022","AQS","470010101","1","0.05","ppm","46","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/21/2022","AQS","470010101","1","0.052","ppm","48","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/22/2022","AQS","470010101","1","0.054","ppm","50","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/23/2022","AQS","470010101","1","0.051","ppm","47","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/24/2022","AQS","470010101","1","0.048","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/25/2022","AQS","470010101","1","0.045","ppm","42","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/26/2022","AQS","470010101","1","0.036","ppm","33","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/27/2022","AQS","470010101","1","0.052","ppm","48","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/28/2022","AQS","470010101","1","0.058","ppm","61","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/29/2022","AQS","470010101","1","0.055","ppm","51","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/30/2022","AQS","470010101","1","0.051","ppm","47","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/01/2022","AQS","470010101","1","0.038","ppm","35","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/02/2022","AQS","470010101","1","0.05","ppm","46","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/03/2022","AQS","470010101","1","0.04","ppm","37","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/04/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/05/2022","AQS","470010101","1","0.048","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/06/2022","AQS","470010101","1","0.034","ppm","31","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/07/2022","AQS","470010101","1","0.028","ppm","26","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/08/2022","AQS","470010101","1","0.032","ppm","30","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/09/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/10/2022","AQS","470010101","1","0.056","ppm","54","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/11/2022","AQS","470010101","1","0.047","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/12/2022","AQS","470010101","1","0.051","ppm","47","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/13/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/14/2022","AQS","470010101","1","0.039","ppm","36","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/15/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/16/2022","AQS","470010101","1","0.047","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/17/2022","AQS","470010101","1","0.056","ppm","54","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/18/2022","AQS","470010101","1","0.064","ppm","80","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/19/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/20/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/21/2022","AQS","470010101","1","0.034","ppm","31","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/22/2022","AQS","470010101","1","0.039","ppm","36","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/23/2022","AQS","470010101","1","0.019","ppm","18","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/24/2022","AQS","470010101","1","0.03","ppm","28","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/25/2022","AQS","470010101","1","0.031","ppm","29","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/26/2022","AQS","470010101","1","0.026","ppm","24","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/27/2022","AQS","470010101","1","0.034","ppm","31","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/28/2022","AQS","470010101","1","0.033","ppm","31","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/29/2022","AQS","470010101","1","0.048","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/30/2022","AQS","470010101","1","0.045","ppm","42","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"05/31/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/01/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/02/2022","AQS","470010101","1","0.039","ppm","36","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/03/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/04/2022","AQS","470010101","1","0.055","ppm","51","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/05/2022","AQS","470010101","1","0.053","ppm","49","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/06/2022","AQS","470010101","1","0.048","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/07/2022","AQS","470010101","1","0.034","ppm","31","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/08/2022","AQS","470010101","1","0.035","ppm","32","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/09/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/10/2022","AQS","470010101","1","0.053","ppm","49","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/11/2022","AQS","470010101","1","0.049","ppm","45","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/12/2022","AQS","470010101","1","0.047","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/13/2022","AQS","470010101","1","0.038","ppm","35","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/14/2022","AQS","470010101","1","0.035","ppm","32","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/15/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","16","94.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/16/2022","AQS","470010101","1","0.054","ppm","50","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/17/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/18/2022","AQS","470010101","1","0.05","ppm","46","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"06/19/2022","AQS","470010101","1","0.045","ppm","42","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
