"County.FIPS.Code","Plant.county.name","Plant.state.abbreviation","Mean_Plant_Nameplate_CapacityMW","County","average_month_ozone_concentration","Average_Month_AQI_Value"
9,"Cattaraugus","NY",90.6,"Blount",0.0366896551724138,33.9655172413793
9,"Benton","MS",1003.5,"Brevard",0.04085,37.9166666666667
9,"Benton","MS",1003.5,"Blount",0.0366896551724138,33.9655172413793
9,"Washington","RI",13.55,"Brevard",0.04085,37.9166666666667
9,"Washington","RI",13.55,"Blount",0.0366896551724138,33.9655172413793
9,"Brevard","FL",649.52,"Brevard",0.04085,37.9166666666667
9,"Brevard","FL",649.52,"Blount",0.0366896551724138,33.9655172413793
9,"Cape May","NJ",3.2,"Brevard",0.04085,37.9166666666667
9,"Cape May","NJ",3.2,"Blount",0.0366896551724138,33.9655172413793
9,"Columbia","OR",439.766666666667,"Brevard",0.04085,37.9166666666667
9,"Columbia","OR",439.766666666667,"Blount",0.0366896551724138,33.9655172413793
9,"Brown","WI",83.075,"Brevard",0.04085,37.9166666666667
9,"Brown","WI",83.075,"Blount",0.0366896551724138,33.9655172413793
9,"Baca","CO",2.7,"Brevard",0.04085,37.9166666666667
9,"Baca","CO",2.7,"Blount",0.0366896551724138,33.9655172413793
9,"Barren","KY",1,"Brevard",0.04085,37.9166666666667
9,"Barren","KY",1,"Blount",0.0366896551724138,33.9655172413793
9,"New Haven","CT",205.98,"Brevard",0.04085,37.9166666666667
9,"New Haven","CT",205.98,"Blount",0.0366896551724138,33.9655172413793
9,"Benewah","ID",6.2,"Brevard",0.04085,37.9166666666667
9,"Benewah","ID",6.2,"Blount",0.0366896551724138,33.9655172413793
9,"Audubon","IA",181.5,"Brevard",0.04085,37.9166666666667
9,"Audubon","IA",181.5,"Blount",0.0366896551724138,33.9655172413793
9,"GRAFTON","NH",17.5,"Brevard",0.04085,37.9166666666667
9,"GRAFTON","NH",17.5,"Blount",0.0366896551724138,33.9655172413793
9,"Barton","KS",32.3666666666667,"Brevard",0.04085,37.9166666666667
9,"Barton","KS",32.3666666666667,"Blount",0.0366896551724138,33.9655172413793
9,"Converse","WY",922.2,"Brevard",0.04085,37.9166666666667
9,"Converse","WY",922.2,"Blount",0.0366896551724138,33.9655172413793
9,"Maui","HI",58.66,"Brevard",0.04085,37.9166666666667
9,"Maui","HI",58.66,"Blount",0.0366896551724138,33.9655172413793
9,"Essex","MA",114.766666666667,"Brevard",0.04085,37.9166666666667
9,"Essex","MA",114.766666666667,"Blount",0.0366896551724138,33.9655172413793
9,"Grafton","NH",9.93333333333333,"Brevard",0.04085,37.9166666666667
9,"Grafton","NH",9.93333333333333,"Blount",0.0366896551724138,33.9655172413793
9,"Hancock","ME",186.8,"Brevard",0.04085,37.9166666666667
9,"Hancock","ME",186.8,"Blount",0.0366896551724138,33.9655172413793
9,"Clallam","WA",12.6,"Brevard",0.04085,37.9166666666667
9,"Clallam","WA",12.6,"Blount",0.0366896551724138,33.9655172413793
11,"Hillsborough","NH",2.25,"Avery",0.0402258064516129,37.3225806451613
11,"Hillsborough","NH",2.25,"Broward",0.0384426229508197,35.7540983606557
11,"Franklin","VT",47.2,"Avery",0.0402258064516129,37.3225806451613
11,"Franklin","VT",47.2,"Broward",0.0384426229508197,35.7540983606557
11,"Eureka","NV",242,"Avery",0.0402258064516129,37.3225806451613
11,"Eureka","NV",242,"Broward",0.0384426229508197,35.7540983606557
11,"New London","CT",31.8318181818182,"Avery",0.0402258064516129,37.3225806451613
11,"New London","CT",31.8318181818182,"Broward",0.0384426229508197,35.7540983606557
11,"Colusa","CA",248.5,"Avery",0.0402258064516129,37.3225806451613
11,"Colusa","CA",248.5,"Broward",0.0384426229508197,35.7540983606557
11,"Beauregard","LA",61.5,"Avery",0.0402258064516129,37.3225806451613
11,"Beauregard","LA",61.5,"Broward",0.0384426229508197,35.7540983606557
11,"Franklin","MA",6.2,"Avery",0.0402258064516129,37.3225806451613
11,"Franklin","MA",6.2,"Broward",0.0384426229508197,35.7540983606557
